timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645423460866,6,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,3755,253,3,3,http://localhost:8080/basket/775fa2b1-b4ba-408a-94ad-419856ada0a8/item/fa109978-d19e-4b4c-bb0a-2c0653db7b98,6,0,0
1645423460872,5,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4368,191,3,3,http://localhost:8080/basket/57e52a9f-f24a-4939-800a-1e552e240f66,5,0,0
1645423460868,11,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-3,text,true,,2813,253,3,3,http://localhost:8080/basket/0124ed84-2779-41cf-951a-f2c3dbb2c53e/item/936933e3-ea31-4b98-9639-7f27ce7c0e78,11,0,0
1645423460873,7,Set Checkout Data,200,OK,Thread-Gruppe 1-2,text,true,,4367,997,3,3,http://localhost:8080/basket/775fa2b1-b4ba-408a-94ad-419856ada0a8/checkout-data,6,0,0
1645423460880,4,View Basket,200,OK,Thread-Gruppe 1-2,text,true,,4367,191,3,3,http://localhost:8080/basket/775fa2b1-b4ba-408a-94ad-419856ada0a8,4,0,0
1645423460877,9,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4368,191,4,4,http://localhost:8080/basket/57e52a9f-f24a-4939-800a-1e552e240f66,8,0,0
1645423460884,11,View Basket,200,OK,Thread-Gruppe 1-2,text,true,,4418,191,4,4,http://localhost:8080/basket/775fa2b1-b4ba-408a-94ad-419856ada0a8,11,0,0
1645423460880,16,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-3,text,true,,3823,253,4,4,http://localhost:8080/basket/0124ed84-2779-41cf-951a-f2c3dbb2c53e/item/b7498b83-3b99-42a7-a6b2-b461a5624d0d,16,0,0
1645423460885,14,Create Basket,201,Created,Thread-Gruppe 1-4,text,true,,790,203,4,4,http://localhost:8080/basket,14,0,1
1645423460886,14,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,4617,338,4,4,http://localhost:8080/basket/57e52a9f-f24a-4939-800a-1e552e240f66/payment,14,0,0
1645423460897,8,Set Checkout Data,200,OK,Thread-Gruppe 1-3,text,true,,4470,997,4,4,http://localhost:8080/basket/0124ed84-2779-41cf-951a-f2c3dbb2c53e/checkout-data,7,0,0
1645423460895,10,Add Payment,200,OK,Thread-Gruppe 1-2,text,true,,4610,338,4,4,http://localhost:8080/basket/775fa2b1-b4ba-408a-94ad-419856ada0a8/payment,10,0,0
1645423460900,10,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-4,text,true,,1792,253,4,4,http://localhost:8080/basket/2eae0093-ba65-416f-8605-3a9005d4bc0e/item/784e690d-7e1b-4791-b170-c8c628fec8cf,10,0,0
1645423460900,13,Initialize Payment,200,OK,Thread-Gruppe 1-1,text,true,,4654,230,4,4,http://localhost:8080/basket/57e52a9f-f24a-4939-800a-1e552e240f66/payment/initialize,13,0,0
1645423460905,10,View Basket,200,OK,Thread-Gruppe 1-3,text,true,,4436,191,4,4,http://localhost:8080/basket/0124ed84-2779-41cf-951a-f2c3dbb2c53e,7,0,0
1645423460906,9,Initialize Payment,200,OK,Thread-Gruppe 1-2,text,true,,4653,230,4,4,http://localhost:8080/basket/775fa2b1-b4ba-408a-94ad-419856ada0a8/payment/initialize,9,0,0
1645423460915,4,View Basket,200,OK,Thread-Gruppe 1-3,text,true,,4436,191,4,4,http://localhost:8080/basket/0124ed84-2779-41cf-951a-f2c3dbb2c53e,3,0,0
1645423460919,6,Add Payment,200,OK,Thread-Gruppe 1-3,text,true,,4679,338,4,4,http://localhost:8080/basket/0124ed84-2779-41cf-951a-f2c3dbb2c53e/payment,6,0,0
1645423460914,13,Execute Payment,200,OK,Thread-Gruppe 1-1,text,true,,4711,227,4,4,http://localhost:8080/basket/57e52a9f-f24a-4939-800a-1e552e240f66/payment/execute,12,0,0
1645423460844,83,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-1,,true,,36367,3136,4,4,null,77,0,0
1645423460910,19,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-4,text,true,,2802,253,4,4,http://localhost:8080/basket/2eae0093-ba65-416f-8605-3a9005d4bc0e/item/a69988e6-ab69-4dfa-ac09-5ba97887ceb5,19,0,0
1645423460915,15,Execute Payment,200,OK,Thread-Gruppe 1-2,text,true,,4710,227,4,4,http://localhost:8080/basket/775fa2b1-b4ba-408a-94ad-419856ada0a8/payment/execute,13,0,0
1645423460851,79,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-2,,true,,36342,3136,4,4,null,73,0,0
1645423460925,6,Initialize Payment,200,OK,Thread-Gruppe 1-3,text,true,,4733,230,4,4,http://localhost:8080/basket/0124ed84-2779-41cf-951a-f2c3dbb2c53e/payment/initialize,6,0,0
1645423460930,3,Create Basket,201,Created,Thread-Gruppe 1-2,text,true,,790,203,4,4,http://localhost:8080/basket,3,0,0
1645423460928,6,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,790,203,4,4,http://localhost:8080/basket,6,0,0
1645423460930,9,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-4,text,true,,3816,253,4,4,http://localhost:8080/basket/2eae0093-ba65-416f-8605-3a9005d4bc0e/item/3ccade09-5e25-4c0c-aa12-2b81762fcda6,9,0,0
1645423460935,9,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1835,253,4,4,http://localhost:8080/basket/7874ce0c-5fd2-43ef-94d6-e5924cc67589/item/809de11e-492c-40f1-955b-66e809813091,9,0,0
1645423460939,5,Set Checkout Data,200,OK,Thread-Gruppe 1-4,text,true,,4454,997,4,4,http://localhost:8080/basket/2eae0093-ba65-416f-8605-3a9005d4bc0e/checkout-data,5,0,0
1645423460932,14,Execute Payment,200,OK,Thread-Gruppe 1-3,text,true,,4792,227,4,4,http://localhost:8080/basket/0124ed84-2779-41cf-951a-f2c3dbb2c53e/payment/execute,14,0,0
1645423460853,94,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-3,,true,,36778,3136,4,4,null,83,0,0
1645423460934,13,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,1799,253,4,4,http://localhost:8080/basket/1405d6b1-9f78-4db4-a3a4-20f679c35401/item/ae38a8ac-a16b-46f4-b4f0-9171fd20cb05,13,0,0
1645423460947,3,Create Basket,201,Created,Thread-Gruppe 1-3,text,true,,790,203,4,4,http://localhost:8080/basket,3,0,0
1645423460944,9,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,2801,253,4,4,http://localhost:8080/basket/7874ce0c-5fd2-43ef-94d6-e5924cc67589/item/1e5b4347-1917-4134-85dc-c8156ec187a5,9,0,0
1645423460945,8,View Basket,200,OK,Thread-Gruppe 1-4,text,true,,4429,191,4,4,http://localhost:8080/basket/2eae0093-ba65-416f-8605-3a9005d4bc0e,7,0,0
